Number of nodes 752 
     0 :  2.6172070e+01  3.9985129e+01 
     1 :  2.6108051e+01  3.9541294e+01 
     2 :  2.6631506e+01  3.9550170e+01 
     3 :  2.6723499e+01  3.9339506e+01 
     4 :  2.6855955e+01  3.8949119e+01 
     5 :  2.6769126e+01  3.8679500e+01 
     6 :  2.6949578e+01  3.8399640e+01 
     7 :  2.6560730e+01  3.8597491e+01 
     8 :  2.6426184e+01  3.8377197e+01 
     9 :  2.6568420e+01  3.8145832e+01 
    10 :  2.7036727e+01  3.8040507e+01 
    11 :  2.7230447e+01  3.7689688e+01 
    12 :  2.7406897e+01  3.7371773e+01 
    13 :  2.7367565e+01  3.7129061e+01 
    14 :  2.7573079e+01  3.6994671e+01 
    15 :  2.8132950e+01  3.7032133e+01 
    16 :  2.7909964e+01  3.6846850e+01 
    17 :  2.7470236e+01  3.6679418e+01 
    18 :  2.8015152e+01  3.6767920e+01 
    19 :  2.8233239e+01  3.6756475e+01 
    20 :  2.8658764e+01  3.6700195e+01 
    21 :  2.9057153e+01  3.6596036e+01 
    22 :  2.9354344e+01  3.6244435e+01 
    23 :  2.9881740e+01  3.6195874e+01 
    24 :  3.0393508e+01  3.6229851e+01 
    25 :  3.0557928e+01  3.6632044e+01 
    26 :  3.0921115e+01  3.6847277e+01 
    27 :  3.1457482e+01  3.6743597e+01 
    28 :  3.1958206e+01  3.6543917e+01 
    29 :  3.2331694e+01  3.6220141e+01 
    30 :  3.2822441e+01  3.6055372e+01 
    31 :  3.3367075e+01  3.6140346e+01 
    32 :  3.3878431e+01  3.6277111e+01 
    33 :  3.4253116e+01  3.6532636e+01 
    34 :  3.4697630e+01  3.6794952e+01 
    35 :  3.5203899e+01  3.6615449e+01 
    36 :  3.5653435e+01  3.6699436e+01 
    37 :  3.6116840e+01  3.6845930e+01 
    38 :  3.5986657e+01  3.6482235e+01 
    39 :  3.5927438e+01  3.6104615e+01 
    40 :  3.5792302e+01  3.5678236e+01 
    41 :  3.5924810e+01  3.5274162e+01 
    42 :  3.5901362e+01  3.4834596e+01 
    43 :  3.5852538e+01  3.4433543e+01 
    44 :  3.5630398e+01  3.4052904e+01 
    45 :  3.5411196e+01  3.3645907e+01 
    46 :  3.5207462e+01  3.3233512e+01 
    47 :  3.5023903e+01  3.2814133e+01 
    48 :  3.4863435e+01  3.2391841e+01 
    49 :  3.4712481e+01  3.1962142e+01 
    50 :  3.4464908e+01  3.1567157e+01 
    51 :  3.4097379e+01  3.1250156e+01 
    52 :  3.3600643e+01  3.1120771e+01 
    53 :  3.3091403e+01  3.1099951e+01 
    54 :  3.2572148e+01  3.1088145e+01 
    55 :  3.2106574e+01  3.1084768e+01 
    56 :  3.1763653e+01  3.1389254e+01 
    57 :  3.1275232e+01  3.1551410e+01 
    58 :  3.0840711e+01  3.1420136e+01 
    59 :  3.0364427e+01  3.1452031e+01 
    60 :  2.9953812e+01  3.1245306e+01 
    61 :  2.9538103e+01  3.0973134e+01 
    62 :  2.9051823e+01  3.0831677e+01 
    63 :  2.8588828e+01  3.1026809e+01 
    64 :  2.8075447e+01  3.1089483e+01 
    65 :  2.7584411e+01  3.1195955e+01 
    66 :  2.7126030e+01  3.1382882e+01 
    67 :  2.6617626e+01  3.1494111e+01 
    68 :  2.6104114e+01  3.1588426e+01 
    69 :  2.5594881e+01  3.1548592e+01 
    70 :  2.5151763e+01  3.1630406e+01 
    71 :  2.4871005e+01  3.1985062e+01 
    72 :  2.4347687e+01  3.2000386e+01 
    73 :  2.3854429e+01  3.2132235e+01 
    74 :  2.3339303e+01  3.2205109e+01 
    75 :  2.3115033e+01  3.2556501e+01 
    76 :  2.2670062e+01  3.2755474e+01 
    77 :  2.2168668e+01  3.2901855e+01 
    78 :  2.1637126e+01  3.2910742e+01 
    79 :  2.1144790e+01  3.2770369e+01 
    80 :  2.0663599e+01  3.2583097e+01 
    81 :  2.0242644e+01  3.2310318e+01 
    82 :  1.9956205e+01  3.1937859e+01 
    83 :  1.9990560e+01  3.1494471e+01 
    84 :  2.0159723e+01  3.1079175e+01 
    85 :  1.9920248e+01  3.0684154e+01 
    86 :  1.9530725e+01  3.0395707e+01 
    87 :  1.9041814e+01  3.0272371e+01 
    88 :  1.8586720e+01  3.0479581e+01 
    89 :  1.8187940e+01  3.0767803e+01 
    90 :  1.7710559e+01  3.0949385e+01 
    91 :  1.7220888e+01  3.1106885e+01 
    92 :  1.6710875e+01  3.1207090e+01 
    93 :  1.6188244e+01  3.1241815e+01 
    94 :  1.5711872e+01  3.1422905e+01 
    95 :  1.5429435e+01  3.1795805e+01 
    96 :  1.5317455e+01  3.2229806e+01 
    97 :  1.4878030e+01  3.2432433e+01 
    98 :  1.4380938e+01  3.2577866e+01 
    99 :  1.3908054e+01  3.2768199e+01 
   100 :  1.3400905e+01  3.2884767e+01 
   101 :  1.2884670e+01  3.2812139e+01 
   102 :  1.2354922e+01  3.2826673e+01 
   103 :  1.1894441e+01  3.3050423e+01 
   104 :  1.1399881e+01  3.3207039e+01 
   105 :  1.1117186e+01  3.3459234e+01 
   106 :  1.0743473e+01  3.3502911e+01 
   107 :  1.0340279e+01  3.3715720e+01 
   108 :  1.0037216e+01  3.4073153e+01 
   109 :  1.0317383e+01  3.4414629e+01 
   110 :  1.0742850e+01  3.4685878e+01 
   111 :  1.1017876e+01  3.5070464e+01 
   112 :  1.1058227e+01  3.5508090e+01 
   113 :  1.0675219e+01  3.5804951e+01 
   114 :  1.0478648e+01  3.6212421e+01 
   115 :  1.0838383e+01  3.6523955e+01 
   116 :  1.1116906e+01  3.6907038e+01 
   117 :  1.0741540e+01  3.6908667e+01 
   118 :  1.0309252e+01  3.6817454e+01 
   119 :  1.0134609e+01  3.7222060e+01 
   120 :  9.7141627e+00  3.7329290e+01 
   121 :  9.1760758e+00  3.7203629e+01 
   122 :  8.7136845e+00  3.6960558e+01 
   123 :  8.1620759e+00  3.6907518e+01 
   124 :  7.6656678e+00  3.6973063e+01 
   125 :  7.2248620e+00  3.6985518e+01 
   126 :  6.7143281e+00  3.6949451e+01 
   127 :  6.2599438e+00  3.6966214e+01 
   128 :  5.7459919e+00  3.6818453e+01 
   129 :  5.2452981e+00  3.6658628e+01 
   130 :  4.7755779e+00  3.6880721e+01 
   131 :  4.2154347e+00  3.6903804e+01 
   132 :  3.6735827e+00  3.6847675e+01 
   133 :  3.1383486e+00  3.6767599e+01 
   134 :  2.6597197e+00  3.6633980e+01 
   135 :  2.1226165e+00  3.6587986e+01 
   136 :  1.5686142e+00  3.6537553e+01 
   137 :  1.0250013e+00  3.6462005e+01 
   138 :  5.2953794e-01  3.6258764e+01 
   139 :  1.0602301e-01  3.5981927e+01 
   140 : -3.2473977e-01  3.5857612e+01 
   141 : -8.1604568e-01  3.5750246e+01 
   142 : -1.2291187e+00  3.5480460e+01 
   143 : -1.6325748e+00  3.5210079e+01 
   144 : -2.1389021e+00  3.5092230e+01 
   145 : -2.6789658e+00  3.5100021e+01 
   146 : -3.0197544e+00  3.5355125e+01 
   147 : -3.5112937e+00  3.5214706e+01 
   148 : -4.0461972e+00  3.5223848e+01 
