Number of nodes 465 
     0 :  2.6172070e+01  3.9985129e+01 
     1 :  2.6298113e+01  3.9476696e+01 
     2 :  2.6800982e+01  3.9402091e+01 
     3 :  2.6976362e+01  3.8937937e+01 
     4 :  2.7005411e+01  3.8487058e+01 
     5 :  2.6554664e+01  3.8603779e+01 
     6 :  2.6275559e+01  3.8255243e+01 
     7 :  2.6942373e+01  3.8061694e+01 
     8 :  2.7214657e+01  3.7588117e+01 
     9 :  2.7558281e+01  3.7159542e+01 
    10 :  2.7592799e+01  3.6994839e+01 
    11 :  2.8190184e+01  3.6950201e+01 
    12 :  2.7458034e+01  3.6740564e+01 
    13 :  2.8050791e+01  3.6740884e+01 
    14 :  2.8527121e+01  3.6800820e+01 
    15 :  2.9072923e+01  3.6576148e+01 
    16 :  2.9596440e+01  3.6186328e+01 
    17 :  3.0331979e+01  3.6268153e+01 
    18 :  3.0576081e+01  3.6749085e+01 
    19 :  3.1290733e+01  3.6810536e+01 
    20 :  3.1993192e+01  3.6529701e+01 
    21 :  3.2542976e+01  3.6098943e+01 
    22 :  3.3299846e+01  3.6130792e+01 
    23 :  3.4013344e+01  3.6278918e+01 
    24 :  3.4537337e+01  3.6737518e+01 
    25 :  3.5247038e+01  3.6596709e+01 
    26 :  3.5872192e+01  3.6813981e+01 
    27 :  3.6030649e+01  3.6513577e+01 
    28 :  3.5925885e+01  3.5974005e+01 
    29 :  3.5897272e+01  3.5405770e+01 
    30 :  3.5920373e+01  3.4789994e+01 
    31 :  3.5662300e+01  3.4270043e+01 
    32 :  3.5427551e+01  3.3682857e+01 
    33 :  3.5134945e+01  3.3105462e+01 
    34 :  3.4893248e+01  3.2515317e+01 
    35 :  3.4687780e+01  3.1911158e+01 
    36 :  3.4288709e+01  3.1385251e+01 
    37 :  3.3637426e+01  3.1121372e+01 
    38 :  3.2918155e+01  3.1094108e+01 
    39 :  3.2224439e+01  3.1142724e+01 
    40 :  3.1697980e+01  3.1417810e+01 
    41 :  3.1005408e+01  3.1542956e+01 
    42 :  3.0381607e+01  3.1470446e+01 
    43 :  2.9801135e+01  3.1157650e+01 
    44 :  2.9179294e+01  3.0836309e+01 
    45 :  2.8512415e+01  3.1053956e+01 
    46 :  2.7813890e+01  3.1181817e+01 
    47 :  2.7144085e+01  3.1379644e+01 
    48 :  2.6425397e+01  3.1516237e+01 
    49 :  2.5708936e+01  3.1580779e+01 
    50 :  2.5128400e+01  3.1706515e+01 
    51 :  2.4569897e+01  3.1996928e+01 
    52 :  2.3862679e+01  3.2128600e+01 
    53 :  2.3165174e+01  3.2295674e+01 
    54 :  2.2776804e+01  3.2725981e+01 
    55 :  2.2065892e+01  3.2907168e+01 
    56 :  2.1359388e+01  3.2783040e+01 
    57 :  2.0663599e+01  3.2583097e+01 
    58 :  2.0101770e+01  3.2174210e+01 
    59 :  1.9967914e+01  3.1578909e+01 
    60 :  2.0128898e+01  3.0988632e+01 
    61 :  1.9705387e+01  3.0480552e+01 
    62 :  1.9032787e+01  3.0273490e+01 
    63 :  1.8416233e+01  3.0598496e+01 
    64 :  1.7795896e+01  3.0920353e+01 
    65 :  1.7106840e+01  3.1137708e+01 
    66 :  1.6379719e+01  3.1219226e+01 
    67 :  1.5697312e+01  3.1432587e+01 
    68 :  1.5359522e+01  3.1982851e+01 
    69 :  1.4961130e+01  3.2422261e+01 
    70 :  1.4281311e+01  3.2649364e+01 
    71 :  1.3566838e+01  3.2811795e+01 
    72 :  1.2857223e+01  3.2807042e+01 
    73 :  1.2135369e+01  3.2913621e+01 
    74 :  1.1473169e+01  3.3193103e+01 
    75 :  1.1080465e+01  3.3571656e+01 
    76 :  1.0502808e+01  3.3655291e+01 
    77 :  1.0032615e+01  3.4104415e+01 
    78 :  1.0535754e+01  3.4526355e+01 
    79 :  1.0997044e+01  3.5018086e+01 
    80 :  1.1000598e+01  3.5620769e+01 
    81 :  1.0495260e+01  3.6072798e+01 
    82 :  1.0863683e+01  3.6557663e+01 
    83 :  1.0966175e+01  3.7047279e+01 
    84 :  1.0326324e+01  3.6772609e+01 
    85 :  9.9787827e+00  3.7213820e+01 
    86 :  9.3356043e+00  3.7245621e+01 
    87 :  8.6569983e+00  3.6947141e+01 
    88 :  7.8863462e+00  3.6851512e+01 
    89 :  7.2295715e+00  3.7024284e+01 
    90 :  6.5676279e+00  3.7017588e+01 
    91 :  5.9027045e+00  3.6827715e+01 
    92 :  5.1798696e+00  3.6675129e+01 
    93 :  4.4803606e+00  3.6886337e+01 
    94 :  3.7063746e+00  3.6865106e+01 
    95 :  2.9613768e+00  3.6803218e+01 
    96 :  2.2632988e+00  3.6622536e+01 
    97 :  1.4903378e+00  3.6534754e+01 
    98 :  7.5778898e-01  3.6348529e+01 
    99 :  1.2048379e-01  3.6002452e+01 
   100 : -4.9294827e-01  3.5811686e+01 
   101 : -1.1739213e+00  3.5579728e+01 
   102 : -1.7005672e+00  3.5166095e+01 
   103 : -2.4430161e+00  3.5118834e+01 
   104 : -3.0060920e+00  3.5366257e+01 
   105 : -3.7053227e+00  3.5248945e+01 
   106 : -4.4589436e+00  3.5164587e+01 
   107 : -5.1076646e+00  3.5473716e+01 
   108 : -5.5630380e+00  3.5874712e+01 
   109 : -5.2096400e+00  3.6372844e+01 
   110 : -4.5154454e+00  3.6620419e+01 
   111 : -3.7732738e+00  3.6739328e+01 
   112 : -3.0003416e+00  3.6746878e+01 
   113 : -2.2856014e+00  3.6798426e+01 
   114 : -1.8235632e+00  3.7161850e+01 
   115 : -1.2465273e+00  3.7566917e+01 
   116 : -7.7974515e-01  3.7822783e+01 
   117 : -4.2436042e-01  3.8381275e+01 
   118 :  1.8082732e-01  3.8767556e+01 
   119 : -2.6380051e-01  3.9256564e+01 
   120 : -9.7565360e-02  3.9838743e+01 
   121 :  3.8045995e-01  4.0348437e+01 
   122 :  8.0623837e-01  4.0845559e+01 
   123 :  1.4808397e+00  4.1163016e+01 
   124 :  2.2212314e+00  4.1411047e+01 
   125 :  2.9453931e+00  4.1726470e+01 
   126 :  3.2218827e+00  4.2245496e+01 
   127 :  3.0426973e+00  4.2811699e+01 
   128 :  3.4546089e+00  4.3297535e+01 
   129 :  4.2065664e+00  4.3478285e+01 
   130 :  4.9625020e+00  4.3408471e+01 
   131 :  5.6904773e+00  4.3140910e+01 
   132 :  6.5002269e+00  4.3173733e+01 
   133 :  7.0630923e+00  4.3569079e+01 
   134 :  7.8342289e+00  4.3830133e+01 
   135 :  8.4437028e+00  4.4250820e+01 
   136 :  9.2170303e+00  4.4320900e+01 
   137 :  9.9947100e+00  4.4050972e+01 
   138 :  1.0336084e+01  4.3508816e+01 
   139 :  1.0570408e+01  4.2946409e+01 
   140 :  1.1162042e+01  4.2536012e+01 
   141 :  1.1755433e+01  4.2147258e+01 
   142 :  1.2323206e+01  4.1703105e+01 
   143 :  1.2978061e+01  4.1322139e+01 
   144 :  1.3757598e+01  4.1212780e+01 
   145 :  1.4310342e+01  4.0812942e+01 
