Number of nodes 254 
   131 : -2.8104080e-01 -5.7908760e-02 
   132 : -2.6791250e-01 -5.8417790e-02 
   133 : -2.5451980e-01 -5.8826790e-02 
   134 : -2.4087600e-01 -5.9136500e-02 
   135 : -2.2699440e-01 -5.9348000e-02 
   136 : -2.1288880e-01 -5.9462600e-02 
   137 : -1.9857310e-01 -5.9481930e-02 
   138 : -1.8406140e-01 -5.9407860e-02 
   139 : -1.6936810e-01 -5.9242470e-02 
   140 : -1.5450760e-01 -5.8988120e-02 
   141 : -1.3949470e-01 -5.8647370e-02 
   142 : -1.2434410e-01 -5.8222930e-02 
   143 : -1.0907080e-01 -5.7717700e-02 
   144 : -9.3689800e-02 -5.7134770e-02 
   145 : -7.8216400e-02 -5.6477290e-02 
   146 : -6.2665800e-02 -5.5748570e-02 
   147 : -4.7053300e-02 -5.4952010e-02 
   148 : -3.1394500e-02 -5.4091080e-02 
   149 : -1.5704600e-02 -5.3169260e-02 
   150 :  8.0000000e-07 -5.2190140e-02 
   151 :  1.5706100e-02 -5.1157280e-02 
   152 :  3.1396000e-02 -5.0074250e-02 
   153 :  4.7054900e-02 -4.8944630e-02 
   154 :  6.2667300e-02 -4.7771990e-02 
   155 :  7.8217900e-02 -4.6559840e-02 
   156 :  9.3691300e-02 -4.5311650e-02 
   157 :  1.0907230e-01 -4.4030920e-02 
   158 :  1.2434560e-01 -4.2721010e-02 
   159 :  1.3949610e-01 -4.1385290e-02 
   160 :  1.5450910e-01 -4.0027010e-02 
   161 :  1.6936960e-01 -3.8649420e-02 
   162 :  1.8406280e-01 -3.7255760e-02 
   163 :  1.9857450e-01 -3.5849050e-02 
   164 :  2.1289010e-01 -3.4432450e-02 
   165 :  2.2699570e-01 -3.3008940e-02 
   166 :  2.4087730e-01 -3.1581540e-02 
   167 :  2.5452120e-01 -3.0153130e-02 
   168 :  2.6791390e-01 -2.8726680e-02 
   169 :  2.8104210e-01 -2.7305030e-02 
   170 :  2.9389300e-01 -2.5891050e-02 
   171 :  3.0645390e-01 -2.4487510e-02 
   172 :  3.1871240e-01 -2.3097250e-02 
   173 :  3.3065630e-01 -2.1723090e-02 
   174 :  3.4227390e-01 -2.0367720e-02 
   175 :  3.5355370e-01 -1.9033980e-02 
   176 :  3.6448450e-01 -1.7724530e-02 
   177 :  3.7505580e-01 -1.6442140e-02 
   178 :  3.8525690e-01 -1.5189510e-02 
   179 :  3.9507770e-01 -1.3969340e-02 
   180 :  4.0450870e-01 -1.2784290e-02 
   181 :  4.1354050e-01 -1.1636950e-02 
   182 :  4.2216410e-01 -1.0529980e-02 
   183 :  4.3037120e-01 -9.4658910e-03 
   184 :  4.3815350e-01 -8.4472100e-03 
   185 :  4.4550340e-01 -7.4763770e-03 
   186 :  4.5241360e-01 -6.5557370e-03 
   187 :  4.5887740e-01 -5.6875660e-03 
   188 :  4.6488830e-01 -4.8741010e-03 
   189 :  4.7044040e-01 -4.1173590e-03 
   190 :  4.7552840e-01 -3.4193650e-03 
   191 :  4.8014690e-01 -2.7819890e-03 
   192 :  4.8429160e-01 -2.2068600e-03 
   193 :  4.8795840e-01 -1.6955790e-03 
   194 :  4.9114360e-01 -1.2495510e-03 
   195 :  4.9384420e-01 -8.6997470e-04 
   196 :  4.9605750e-01 -5.5797690e-04 
   197 :  4.9778100e-01 -3.1439040e-04 
   198 :  4.9901340e-01 -1.3988410e-04 
   199 :  4.9975330e-01 -3.4985430e-05 
   200 :  7.0000000e-01  2.0000000e-01 
   201 : -7.0000000e-01  2.0000000e-01 
   202 : -7.0000000e-01 -2.0000000e-01 
   203 :  7.0000000e-01 -2.0000000e-01 
   204 :  4.0345905e-01  1.2916817e-02 
   205 :  3.0672355e-01  2.4457152e-02 
   206 :  2.0984757e-01  3.4735879e-02 
   207 :  1.1284113e-01  4.3711204e-02 
   208 : -7.2892470e-02  5.6235319e-02 
   209 : -1.6158794e-01  5.9119891e-02 
   210 : -2.5032863e-01  5.8933094e-02 
   211 : -3.3892461e-01  5.4161899e-02 
   212 : -4.2668916e-01  4.1399580e-02 
   213 : -4.2924579e-01 -4.0819838e-02 
   214 : -3.4415112e-01 -5.3682119e-02 
   215 : -2.5819338e-01 -5.8725233e-02 
   216 : -1.7208018e-01 -5.9279557e-02 
   217 : -8.5994966e-02 -5.6816471e-02 
   218 :  8.3587794e-02 -4.6131364e-02 
   219 :  1.6707896e-01 -3.8863851e-02 
   220 :  2.5047534e-01 -3.0579297e-02 
   221 :  3.3377485e-01 -2.1361105e-02 
   222 :  4.1696327e-01 -1.1198951e-02 
   223 :  1.8325341e-12  2.0000000e-01 
   224 :  1.0179489e-05 -2.0000000e-01 
   225 :  1.3742041e-01 -1.3905881e-01 
   226 :  3.1535997e-01 -1.6468413e-01 
   227 :  4.9124875e-01 -1.4370458e-01 
   228 : -1.2560461e-01 -1.7803040e-01 
   229 : -5.3330814e-01  1.0735206e-01 
   230 : -5.3488660e-01 -1.0975433e-01 
   231 : -4.0636576e-01 -1.7736653e-01 
   232 : -1.1367585e-01  1.6727510e-01 
   233 : -3.5436107e-01  1.4459883e-01 
   234 :  2.2861941e-01 -1.0237003e-01 
   235 : -2.3229709e-01  1.2575276e-01 
   236 : -2.1568918e-01 -1.4481683e-01 
   237 :  5.6711298e-02  1.1456230e-01 
   238 :  1.4452525e-01  1.1165689e-01 
   239 :  2.6732732e-01  1.1481420e-01 
   240 : -2.9924771e-01  1.1886041e-01 
   241 :  3.8400868e-01  9.0219112e-02 
   242 :  4.4499253e-01  1.3775075e-01 
   243 :  4.7601287e-01  7.2853150e-02 
   244 : -3.0601371e-01 -1.1769434e-01 
   245 : -6.1786410e-01 -1.3144983e-02 
   246 :  3.8858617e-01 -9.5859738e-02 
   247 :  3.0085601e-01 -9.1234775e-02 
   248 :  4.0040036e-02 -1.1716107e-01 
   249 :  4.7714685e-01 -7.5309087e-02 
   250 :  5.7804388e-01 -7.7530666e-02 
   251 :  5.9851166e-01  4.0942580e-02 
   252 : -3.9145513e-02 -1.2609755e-01 
   253 : -2.4669938e-02  1.2214677e-01 
Number of triangles 87 
     0 :    218    225    219  
     1 :    100    230    213  
     2 :    100    212    229  
     3 :    100    229    245  
     4 :    217    216    228  
     5 :    208    232    209  
     6 :    218    248    225  
     7 :    213    231    214  
     8 :    211    233    212  
     9 :      0    251    243  
    10 :    241    243    242  
    11 :    225    226    234  
    12 :    225    234    219  
    13 :    217    228    252  
    14 :     49    207    237  
    15 :    222    221    246  
    16 :      0    249    250  
    17 :    220    219    234  
    18 :    100    245    230  
    19 :    150    248    218  
    20 :      0    250    251  
    21 :    201    245    229  
    22 :    217    252    150  
    23 :    208    253    232  
    24 :    213    230    231  
    25 :    212    233    229  
    26 :    215    236    216  
    27 :    206    238    207  
    28 :      0    243    204  
    29 :    216    236    228  
    30 :    210    209    235  
    31 :    225    248    224  
    32 :     49    253    208  
    33 :    205    239    206  
    34 :    220    247    221  
    35 :    205    204    241  
    36 :    203    250    227  
    37 :    209    232    235  
    38 :     49    237    253  
    39 :      0    222    249  
    40 :    210    240    211  
    41 :    214    244    215  
    42 :    150    252    248  
    43 :    214    231    244  
    44 :    207    238    237  
    45 :    211    240    233  
    46 :    224    252    228  
    47 :    226    227    246  
    48 :    206    239    238  
    49 :    243    251    242  
    50 :    221    247    246  
    51 :    220    234    247  
    52 :    223    232    253  
    53 :    222    246    249  
    54 :    205    241    239  
    55 :    227    250    249  
    56 :    215    244    236  
    57 :    210    235    240  
    58 :    204    243    241  
    59 :    223    253    237  
    60 :    224    248    252  
    61 :    202    230    245  
    62 :    200    242    251  
    63 :    226    247    234  
    64 :    226    246    247  
    65 :    227    249    246  
    66 :    225    224    226  
    67 :    202    231    230  
    68 :    202    224    231  
    69 :    203    226    224  
    70 :    224    228    231  
    71 :    203    227    226  
    72 :    200    223    242  
    73 :    223    239    242  
    74 :    241    242    239  
    75 :    223    237    238  
    76 :    201    202    245  
    77 :    228    236    231  
    78 :    201    229    233  
    79 :    223    238    239  
    80 :    236    244    231  
    81 :    232    233    235  
    82 :    223    233    232  
    83 :    201    233    223  
    84 :    235    233    240  
    85 :    203    251    250  
    86 :    200    251    203  
