Number of nodes 399 
     0 :  2.6172070e+01  3.9985129e+01 
     1 :  2.6406663e+01  3.9504158e+01 
     2 :  2.6697360e+01  3.9258901e+01 
     3 :  2.6830361e+01  3.8751272e+01 
     4 :  2.6725293e+01  3.8400455e+01 
     5 :  2.6426184e+01  3.8377197e+01 
     6 :  2.6836988e+01  3.8100489e+01 
     7 :  2.7217442e+01  3.7600523e+01 
     8 :  2.7479774e+01  3.7122699e+01 
     9 :  2.7797018e+01  3.7008010e+01 
    10 :  2.7909964e+01  3.6846850e+01 
    11 :  2.7797891e+01  3.6723920e+01 
    12 :  2.8297129e+01  3.6820365e+01 
    13 :  2.9056226e+01  3.6683177e+01 
    14 :  2.9568554e+01  3.6197648e+01 
    15 :  3.0393508e+01  3.6229851e+01 
    16 :  3.0696932e+01  3.6846398e+01 
    17 :  3.1554903e+01  3.6699294e+01 
    18 :  3.2272301e+01  3.6296061e+01 
    19 :  3.3040138e+01  3.6088335e+01 
    20 :  3.3878432e+01  3.6277111e+01 
    21 :  3.4499037e+01  3.6715467e+01 
    22 :  3.5303768e+01  3.6575163e+01 
    23 :  3.6015155e+01  3.6880807e+01 
    24 :  3.5832631e+01  3.6353892e+01 
    25 :  3.5792302e+01  3.5678236e+01 
    26 :  3.5888994e+01  3.5011226e+01 
    27 :  3.5769670e+01  3.4375355e+01 
    28 :  3.5447697e+01  3.3730393e+01 
    29 :  3.5116722e+01  3.3070885e+01 
    30 :  3.4863435e+01  3.2391841e+01 
    31 :  3.4579874e+01  3.1717600e+01 
    32 :  3.4004612e+01  3.1208210e+01 
    33 :  3.3189805e+01  3.1070399e+01 
    34 :  3.2393870e+01  3.1178710e+01 
    35 :  3.1763653e+01  3.1389254e+01 
    36 :  3.0997831e+01  3.1518644e+01 
    37 :  3.0314838e+01  3.1372912e+01 
    38 :  2.9621955e+01  3.1026916e+01 
    39 :  2.8870075e+01  3.0914096e+01 
    40 :  2.8075447e+01  3.1089483e+01 
    41 :  2.7326891e+01  3.1334488e+01 
    42 :  2.6513168e+01  3.1505431e+01 
    43 :  2.5695013e+01  3.1576525e+01 
    44 :  2.5072922e+01  3.1795481e+01 
    45 :  2.4347687e+01  3.2000386e+01 
    46 :  2.3545695e+01  3.2174859e+01 
    47 :  2.3070079e+01  3.2632113e+01 
    48 :  2.2272273e+01  3.2879786e+01 
    49 :  2.1456602e+01  3.2815418e+01 
    50 :  2.0663599e+01  3.2583097e+01 
    51 :  2.0050547e+01  3.2097450e+01 
    52 :  2.0025580e+01  3.1409957e+01 
    53 :  1.9977783e+01  3.0759077e+01 
    54 :  1.9346400e+01  3.0312710e+01 
    55 :  1.8586720e+01  3.0479581e+01 
    56 :  1.7901265e+01  3.0875874e+01 
    57 :  1.7120910e+01  3.1134001e+01 
    58 :  1.6291791e+01  3.1227040e+01 
    59 :  1.5573773e+01  3.1556950e+01 
    60 :  1.5317455e+01  3.2229806e+01 
    61 :  1.4569319e+01  3.2497544e+01 
    62 :  1.3803440e+01  3.2785725e+01 
    63 :  1.2987357e+01  3.2836873e+01 
    64 :  1.2160763e+01  3.2900182e+01 
    65 :  1.1399881e+01  3.3207039e+01 
    66 :  1.0936792e+01  3.3557818e+01 
    67 :  1.0258418e+01  3.3774234e+01 
    68 :  1.0220761e+01  3.4373477e+01 
    69 :  1.0873114e+01  3.4829817e+01 
    70 :  1.1058227e+01  3.5508091e+01 
    71 :  1.0510702e+01  3.6037118e+01 
    72 :  1.0891953e+01  3.6602661e+01 
    73 :  1.0836390e+01  3.6956257e+01 
    74 :  1.0226197e+01  3.6975883e+01 
    75 :  9.7141626e+00  3.7329290e+01 
    76 :  8.9088786e+00  3.7041368e+01 
    77 :  8.0543569e+00  3.6882446e+01 
    78 :  7.2363702e+00  3.7070773e+01 
    79 :  6.5365731e+00  3.7045988e+01 
    80 :  5.7459919e+00  3.6818453e+01 
    81 :  4.9841627e+00  3.6818142e+01 
    82 :  4.1031736e+00  3.6904896e+01 
    83 :  3.2425345e+00  3.6799694e+01 
    84 :  2.4457390e+00  3.6598631e+01 
    85 :  1.5686141e+00  3.6537553e+01 
    86 :  7.2894040e-01  3.6338773e+01 
    87 :  5.1138148e-02  3.5903945e+01 
    88 : -7.0880979e-01  3.5735772e+01 
    89 : -1.3448727e+00  3.5334136e+01 
    90 : -2.1389022e+00  3.5092230e+01 
    91 : -2.9250154e+00  3.5252650e+01 
    92 : -3.6141813e+00  3.5246224e+01 
    93 : -4.4740109e+00  3.5167244e+01 
    94 : -5.1966243e+00  3.5543845e+01 
    95 : -5.5556542e+00  3.6042106e+01 
    96 : -4.9049636e+00  3.6497233e+01 
    97 : -4.1022652e+00  3.6729991e+01 
    98 : -3.2204716e+00  3.6746922e+01 
    99 : -2.3905559e+00  3.6821951e+01 
   100 : -1.8235632e+00  3.7161850e+01 
   101 : -1.1361656e+00  3.7578142e+01 
   102 : -6.9491426e-01  3.7985938e+01 
   103 : -1.5077687e-01  3.8529413e+01 
   104 : -1.4790261e-01  3.8995995e+01 
   105 : -2.2017639e-01  3.9675039e+01 
   106 :  3.0413084e-01  4.0266298e+01 
   107 :  8.0276667e-01  4.0833237e+01 
   108 :  1.5765803e+00  4.1185555e+01 
   109 :  2.3941617e+00  4.1509279e+01 
   110 :  3.1826890e+00  4.1904149e+01 
   111 :  3.1103203e+00  4.2532681e+01 
   112 :  3.2188188e+00  4.3194635e+01 
   113 :  4.0669967e+00  4.3528697e+01 
   114 :  4.9315335e+00  4.3419604e+01 
   115 :  5.7621690e+00  4.3106179e+01 
   116 :  6.6270522e+00  4.3246433e+01 
   117 :  7.3220733e+00  4.3711648e+01 
   118 :  8.1977934e+00  4.4012812e+01 
   119 :  8.9418311e+00  4.4401236e+01 
   120 :  9.8263190e+00  4.4084726e+01 
   121 :  1.0318423e+01  4.3544344e+01 
   122 :  1.0639214e+01  4.2945697e+01 
   123 :  1.1238394e+01  4.2421102e+01 
   124 :  1.1984670e+01  4.2002614e+01 
   125 :  1.2624271e+01  4.1484355e+01 
   126 :  1.3469938e+01  4.1242998e+01 
   127 :  1.4131092e+01  4.0823294e+01 
   128 :  1.4862425e+01  4.0592219e+01 
   129 :  1.5299358e+01  4.0046069e+01 
   130 :  1.5841632e+01  3.9640123e+01 
   131 :  1.6159726e+01  3.8975746e+01 
   132 :  1.5890419e+01  3.8442445e+01 
   133 :  1.5899060e+01  3.7922479e+01 
   134 :  1.6518011e+01  3.8385620e+01 
   135 :  1.6938335e+01  3.8929922e+01 
   136 :  1.6996323e+01  3.9474578e+01 
   137 :  1.6600328e+01  3.9977936e+01 
   138 :  1.7139716e+01  4.0492183e+01 
   139 :  1.7940464e+01  4.0185975e+01 
   140 :  1.8441654e+01  4.0017311e+01 
   141 :  1.8028658e+01  4.0600211e+01 
   142 :  1.7239330e+01  4.0985161e+01 
