Number of nodes 185 
   130 : -6.9443295e-02  1.6368936e-01 
   131 :  6.9212299e-02 -1.6436150e-01 
   132 :  1.6415992e-01  6.9010270e-02 
   133 : -4.8351236e-01 -1.6473619e-01 
   134 :  4.8341658e-01  1.6453903e-01 
   135 :  1.6474466e-01 -4.8349929e-01 
   136 : -1.6465139e-01  4.8325986e-01 
   137 :  2.8886350e-01  2.6600460e-01 
   138 : -2.8854231e-01 -2.6626382e-01 
   139 :  2.6617814e-01 -2.8899290e-01 
   140 : -2.6622031e-01  2.8851065e-01 
   141 :  1.5122854e-01  7.9709420e-01 
   142 : -1.5116327e-01 -7.9711420e-01 
   143 :  7.9711142e-01 -1.5123202e-01 
   144 : -7.9867801e-01  1.5154654e-01 
   145 :  4.8378953e-01  5.2521437e-01 
   146 : -4.8367977e-01 -5.2525744e-01 
   147 : -5.2584725e-01  4.8395276e-01 
   148 :  5.2525432e-01 -4.8379829e-01 
   149 : -5.7574809e-01 -3.1689676e-01 
   150 :  5.7578374e-01  3.1682406e-01 
   151 : -3.1693071e-01  5.7574673e-01 
   152 :  3.1691439e-01 -5.7581456e-01 
   153 : -3.0173174e-01 -4.1136311e-01 
   154 :  3.0204312e-01  4.1124751e-01 
   155 :  4.1135465e-01 -3.0209510e-01 
   156 : -4.1186332e-01  3.0194822e-01 
   157 :  8.3543017e-01  6.6663659e-01 
   158 : -8.3542280e-01 -6.6663975e-01 
   159 : -6.6663448e-01  8.3545714e-01 
   160 :  6.6664035e-01 -8.3543078e-01 
   161 : -7.1131067e-01 -2.4985276e-01 
   162 :  7.1124416e-01  2.4985406e-01 
   163 : -2.4988144e-01  7.1121803e-01 
   164 :  2.4991905e-01 -7.1126102e-01 
   165 : -2.0189274e-01  8.5177398e-01 
   166 :  2.0192001e-01 -8.5179028e-01 
   167 :  8.5178467e-01  2.0188915e-01 
   168 : -8.5187674e-01 -2.0185651e-01 
   169 : -7.4921313e-01 -3.5250124e-01 
   170 :  7.4921564e-01  3.5249264e-01 
   171 : -3.5251357e-01  7.4921638e-01 
   172 :  3.5252759e-01 -7.4922464e-01 
   173 :  8.4451891e-01  5.0054382e-01 
   174 : -8.4450664e-01 -5.0054850e-01 
   175 : -5.0055120e-01  8.4453813e-01 
   176 :  5.0055348e-01 -8.4452098e-01 
   177 :  3.4848687e-01  6.9371872e-01 
   178 : -3.4840581e-01 -6.9373678e-01 
   179 :  6.9373623e-01 -3.4848797e-01 
   180 : -6.9571816e-01  3.4891023e-01 
   181 :  8.3454388e-01  8.3478157e-01 
   182 : -8.3477759e-01  8.3456515e-01 
   183 : -8.3454143e-01 -8.3478252e-01 
   184 :  8.3478257e-01 -8.3454396e-01 
Number of quads 160 
     0 :     46     45     80     54 
     1 :     13     12     77     56 
     2 :     35     34     79     53 
     3 :     24     23     78     55 
     4 :     51    113    117     69 
     5 :     52    114    118     70 
     6 :     49    115    119     72 
     7 :     50    116    120     71 
     8 :     60    133    116    100 
     9 :     59    134    115     99 
    10 :     57    135    114     98 
    11 :     58    136    113     97 
    12 :    126    137     64    134 
    13 :     64    137     69    132 
    14 :    125    138     61    133 
    15 :     61    138     70    129 
    16 :    127    139     63    135 
    17 :     63    139     72    131 
    18 :    128    140     62    136 
    19 :     62    140     71    130 
    20 :    141    105     44     43 
    21 :    142    106     22     21 
    22 :    144    108     33     32 
    23 :    143    107     11     10 
    24 :    132     69    130     48 
    25 :    130     69    117     62 
    26 :    129     70    131     48 
    27 :    131     70    118     63 
    28 :    130     71    129     48 
    29 :    129     71    120     61 
    30 :    131     72    132     48 
    31 :    132     72    119     64 
    32 :     86     55     78     90 
    33 :     87     53     79     91 
    34 :     85     54     80     89 
    35 :     88     56     77     92 
    36 :     73    145     93    154 
    37 :     74    146     94    153 
    38 :     76    147     96    156 
    39 :     75    148     95    155 
    40 :     65    141     97    109 
    41 :     66    142     98    110 
    42 :     67    143     99    112 
    43 :     68    144    100    111 
    44 :    154     93    109     51 
    45 :    153     94    110     52 
    46 :    155     95    112     49 
    47 :    156     96    111     50 
    48 :    109     97    113     51 
    49 :    110     98    114     52 
    50 :    112     99    115     49 
    51 :    111    100    116     50 
    52 :    117    113    136     62 
    53 :    118    114    135     63 
    54 :    119    115    134     64 
    55 :    120    116    133     61 
    56 :    138    153     52     70 
    57 :    153    138    125     74 
    58 :    137    154     51     69 
    59 :    154    137    126     73 
    60 :    139    155     49     72 
    61 :    155    139    127     75 
    62 :    140    156     50     71 
    63 :    156    140    128     76 
    64 :    108     79     34     33 
    65 :    107     77     12     11 
    66 :    106     78     23     22 
    67 :    105     80     45     44 
    68 :     31    104    144     32 
    69 :    100    144    104     60 
    70 :      9    103    143     10 
    71 :     99    143    103     59 
    72 :     20    102    142     21 
    73 :     98    142    102     57 
    74 :     42    101    141     43 
    75 :     97    141    101     58 
    76 :    147    123     87     91 
    77 :    148    124     88     92 
    78 :    146    122     86     90 
    79 :    145    121     85     89 
    80 :     76    151    123    147 
    81 :    128    136    151     76 
    82 :     75    152    124    148 
    83 :    127    135    152     75 
    84 :     74    149    122    146 
    85 :    125    133    149     74 
    86 :     73    150    121    145 
    87 :    126    134    150     73 
    88 :     60    161    149    133 
    89 :     59    162    150    134 
    90 :     58    163    151    136 
    91 :     57    164    152    135 
    92 :    101    165    163     58 
    93 :    102    166    164     57 
    94 :    103    167    162     59 
    95 :    104    168    161     60 
    96 :    169    122    149    161 
    97 :    170    121    150    162 
    98 :    171    123    151    163 
    99 :    172    124    152    164 
   100 :      5    157    173      6 
   101 :     27    158    174     28 
   102 :     38    159    175     39 
   103 :     16    160    176     17 
   104 :     93    177     65    109 
   105 :    105    177     89     80 
   106 :     89    177     93    145 
   107 :     65    177    105    141 
   108 :     94    178     66    110 
   109 :    106    178     90     78 
   110 :     90    178     94    146 
   111 :     66    178    106    142 
   112 :     95    179     67    112 
   113 :    107    179     92     77 
   114 :     92    179     95    148 
   115 :     67    179    107    143 
   116 :     96    180     68    111 
   117 :    108    180     91     79 
   118 :     91    180     96    147 
   119 :     68    180    108    144 
   120 :    169    161    168     81 
   121 :    170    162    167     82 
   122 :    171    163    165     83 
   123 :    172    164    166     84 
   124 :     30    168    104     31 
   125 :     29     81    168     30 
   126 :      8    167    103      9 
   127 :      7     82    167      8 
   128 :     19    166    102     20 
   129 :     18     84    166     19 
   130 :     41    165    101     42 
   131 :     40     83    165     41 
   132 :     17    176     84     18 
   133 :    124    176    160     88 
   134 :    176    124    172     84 
   135 :     39    175     83     40 
   136 :    123    175    159     87 
   137 :    175    123    171     83 
   138 :      6    173     82      7 
   139 :    121    173    157     85 
   140 :    173    121    170     82 
   141 :     28    174     81     29 
   142 :    122    174    158     86 
   143 :    174    122    169     81 
   144 :    181      4      0     47 
   145 :    182     37      3     36 
   146 :    183     26      2     25 
   147 :      1     14    184     15 
   148 :     53    182     36     35 
   149 :     56    184     14     13 
   150 :     55    183     25     24 
   151 :     54    181     47     46 
   152 :    182    159     38     37 
   153 :    159    182     53     87 
   154 :    184    160     16     15 
   155 :    160    184     56     88 
   156 :    183    158     27     26 
   157 :    158    183     55     86 
   158 :    181    157      5      4 
   159 :    157    181     54     85 
